Dept_ID,Time_Index,Budget_Allocated,Labor_Cost,Material_Cost,Overhead_Cost,Maintenance_Cost,Logistics_Cost,IT_Cost,Utilization_Rate,Inventory_Level,Demand_Forecast,Inflation_Rate,Market_Volatility,Risk_Score,Total_Operational_Cost,Budget_Consumed,Cost_Variance,Target_Total_Cost,Target_Budget_Overrun
7,44,105445.4945,78088.21203,67225.38486,26127.44136,19689.55528,8532.659369,12167.86387,0.828908065,7847.901003,7619.702862,6.761442993,0.138361482,0.248379741,211831.1168,220390.1659,114944.6713,78088.21203,1
4,97,129388.645,30008.90141,25680.61258,22490.33448,11843.96973,2599.277714,5897.246033,0.808377349,1271.3118,10581.0132,2.184191448,0.592289723,0.566346059,98520.34194,104086.572,-25302.07297,30008.90141,0
8,42,114847.1002,14977.74957,19275.23796,26865.09041,9409.495566,22371.57795,7628.957814,0.995744915,8689.686553,10776.20108,7.094291511,0.198477114,0.936900611,100528.1093,104807.5895,-10039.51072,14977.74957,0
5,227,71897.82435,34195.98549,49035.33998,19625.9605,11480.16172,22378.43742,11996.54172,0.777285881,3101.366925,19847.90151,4.303277797,0.496586086,0.90097495,148712.4268,145266.121,73368.29662,34195.98549,1
7,262,72479.06121,62030.61327,54296.56165,6518.865844,3198.535491,6811.191817,4154.602169,0.880082765,6824.304369,5428.883781,2.709412574,0.635530332,0.92766322,137010.3702,141326.664,68847.60277,62030.61327,1
10,167,98312.35381,40667.81557,19618.88809,6099.491109,8632.602474,5746.061248,4039.846991,0.560972711,1890.637599,13830.84266,5.404986373,0.218805626,0.969771754,84804.70548,84165.7167,-14146.63711,40667.81557,0
3,279,62639.79699,67245.19014,9979.699677,4296.062171,9709.696008,14587.73358,9249.261858,0.604014481,6909.121516,3626.363891,7.714163369,0.497640326,0.24882218,115067.6434,119157.5234,56517.72639,67245.19014,1
7,89,206614.2549,48452.84556,57683.57163,18311.15921,17123.92818,16507.33057,7104.795627,0.950214551,839.1635741,18614.39711,5.255077394,0.465928743,0.231872807,165183.6308,160034.1189,-46580.13603,48452.84556,0
8,178,121831.6791,75085.42058,68472.62829,9557.928389,15414.32326,24023.47882,14284.55524,0.853115356,6206.12466,12217.25646,6.119808535,0.832600382,0.484985267,206838.3346,203693.3295,81861.65041,75085.42058,1
5,197,119936.4919,76350.44094,46903.69859,22828.35832,12427.10512,10679.0145,5998.427602,0.793161505,6636.431622,17328.81901,6.898527721,0.896561116,0.720380383,175187.0451,187679.351,67742.85909,76350.44094,1
4,307,132999.5736,14851.31542,23061.34851,21528.74827,7598.267463,16218.60789,11633.77845,0.552416616,2822.718784,18009.58934,6.796040733,0.623579557,0.495724528,94892.066,95916.00657,-37083.56699,14851.31542,0
8,267,215699.0686,41948.94078,69783.71956,11588.99005,4553.657128,22198.16405,9163.298408,0.819146757,9401.272852,11585.08833,2.438712371,0.783887324,0.903118934,159236.77,167368.6308,-48330.43775,41948.94078,1
8,268,267658.4704,52678.23429,63062.33136,7773.644995,7607.535397,12348.93707,1764.065287,0.932058187,936.7376784,13958.13815,6.445972479,0.617505566,0.745656835,145234.7484,148818.746,-118839.7243,52678.23429,0
3,74,239771.7331,27911.07786,38369.74201,5764.809444,13916.27735,4813.952277,2181.397672,0.538478593,8971.238604,14275.69216,7.696697395,0.801029004,0.670573725,92957.25661,93059.9359,-146711.7972,27911.07786,0
6,8,231882.3076,38495.37456,58645.88351,22907.51239,5997.718183,10681.28757,3844.190835,0.823674369,4128.026133,9749.135647,6.203913404,0.446617642,0.163934045,140571.9671,143984.5326,-87897.77501,38495.37456,1
5,297,171097.7964,57437.70788,58028.33401,15161.90688,9110.847218,5141.039314,3004.13672,0.636216372,7282.190046,9261.926699,7.018657362,0.586391886,0.257801885,147883.972,158539.7549,-12558.04153,57437.70788,0
2,164,223451.3892,25871.39588,65761.93303,11735.30768,8348.634463,2382.707677,5611.200855,0.471260448,6689.71006,4537.576161,4.913298206,0.776135619,0.485338379,119711.1796,118782.2328,-104669.1565,25871.39588,1
8,85,188190.592,52138.69471,59660.04985,26129.63143,15546.21121,19285.7203,9105.844824,0.858076406,2098.339052,8294.37665,3.914415958,0.834468576,0.978737292,181866.1523,184269.7939,-3920.798094,52138.69471,0
6,72,104062.632,58821.34797,46839.15034,19027.55685,17791.95418,7483.745111,9433.075602,0.500282074,3530.493118,19824.38187,6.057435339,0.119746187,0.400967829,159396.8301,156270.6586,52208.02651,58821.34797,1
2,55,102147.0919,16334.74178,44604.74173,16986.06308,14288.04818,2046.162054,9228.748992,0.551737764,5531.898069,6127.369965,4.953199869,0.183162154,0.666977916,103488.5058,103765.6837,1618.591792,16334.74178,1
5,47,124098.0017,44827.05212,35378.22374,23071.23745,7490.442958,22065.94422,2646.520885,0.869765225,8541.847569,15486.37726,7.371733138,0.844937649,0.99001543,135479.4214,146692.573,22594.57128,44827.05212,1
1,238,277700.6677,28415.60209,45721.5666,25020.74479,9230.363931,12207.14329,9403.155752,0.845279671,9571.170721,2127.601931,7.846291812,0.554807016,0.337622553,129998.5764,138820.0688,-138880.5989,28415.60209,0
10,104,186853.7101,60707.04492,56689.07812,21523.9752,3723.652927,7493.777232,6736.456416,0.55250984,695.5730167,9881.907151,6.918812405,0.892153675,0.250000321,156873.9848,157821.8635,-29031.84656,60707.04492,0
6,210,233476.3443,23268.8856,67987.44571,14880.1706,4193.851508,8044.169364,13642.73731,0.964578769,3849.303427,2109.792506,7.956077705,0.734106434,0.591699954,132017.2601,128038.1526,-105438.1916,23268.8856,0
9,42,136639.69,72456.65409,35373.67828,13241.0674,4121.558783,7532.371546,13767.77875,0.529171135,6847.367284,10040.19874,4.09022359,0.754512147,0.596701351,146493.1088,148396.8606,11757.17061,72456.65409,1
1,316,151928.9427,40165.89356,42287.45819,23834.95333,3481.140794,6474.791707,11754.43357,0.996173329,5513.429616,1523.496755,7.374532273,0.408898006,0.929697969,127998.6712,136415.654,-15513.2887,40165.89356,0
10,268,81391.39466,23860.21212,33912.35718,16983.49334,4412.043342,21348.20317,10843.50012,0.842739923,9458.710101,12652.60066,3.979601773,0.30603311,0.123787086,111359.8093,106523.4694,25132.07474,23860.21212,1
3,263,92823.73946,40661.52574,48451.76036,22018.42412,4851.075849,5917.627591,2609.338042,0.635504614,661.2096281,12143.6729,2.708228452,0.578607339,0.46663996,124509.7517,132204.5916,39380.85214,40661.52574,1
7,336,256839.1387,38612.0634,45944.83276,27040.76731,3125.072932,14922.65773,2185.718962,0.478209524,4658.524287,16159.02123,5.728242172,0.803225679,0.381113343,131831.1131,138684.5499,-118154.5888,38612.0634,0
4,259,196209.6579,40024.32716,6159.196363,27729.04714,13164.95372,3778.365627,12771.67167,0.592305973,6853.636554,12082.43784,4.729931806,0.680558807,0.613947533,103627.5617,99451.09544,-96758.56248,40024.32716,0
9,283,134383.1165,50989.29054,40175.50134,10498.32226,19817.62916,23838.99165,6978.22143,0.516243107,2567.045282,18593.98408,7.530195401,0.477740112,0.108397319,152297.9564,159204.0661,24820.94965,50989.29054,1
3,114,250712.8022,46482.16074,10751.64822,8073.028657,17704.54815,15876.2198,7319.071853,0.773103752,7395.778168,15878.98767,4.953163325,0.702560381,0.739957428,106206.6774,105654.2303,-145058.5719,46482.16074,0
5,363,111629.9764,20484.39922,6714.93517,10054.75873,1866.451753,22772.50776,12869.10326,0.614113092,1271.671968,3520.473886,7.565795476,0.652318099,0.536490768,74762.15589,73012.18301,-38617.7934,20484.39922,1
3,40,294008.1747,14590.53509,56427.81554,23287.0378,9038.117375,11151.18893,9700.033427,0.577004357,4784.86603,6043.990578,2.471803203,0.83044114,0.730620285,124194.7282,125155.0381,-168853.1365,14590.53509,0
7,220,136204.4019,61059.08141,21812.24104,12991.56697,17326.90101,20645.45731,3511.701373,0.854279915,6924.232084,1498.381358,6.983071014,0.310845779,0.503025592,137346.9491,134711.009,-1493.392937,61059.08141,1
